	0
C,CA,CB,CD1,CD2,CG,N,O	145806
C,CA,CB,CD,CG,N,O,OE1,OE2	135532
C,CA,CB,CD,CG,CZ,N,NE,NH1,NH2,O	129945
C,CA,CB,CD,CE,CG,N,NZ,O	124715
C,CA,CB,CG,N,O,OD1,OD2	118454
C,CA,CB,N,O,OG	115074
C,CA,CB,N,O	110215
C,CA,N,O	107830
C,CA,CB,CG2,N,O,OG1	103174
C,CA,CB,CG1,CG2,N,O	102412
C,CA,CB,CD,CG,N,O	99523
O	98762
C,CA,CB,CG,N,ND2,O,OD1	90266
C,CA,CB,CD,CG,N,NE2,O,OE1	86585
C,CA,CB,CD1,CG1,CG2,N,O	83427
C,CA,CB,CD1,CD2,CE1,CE2,CG,CZ,N,O,OH	80975
C,CA,CB,CD1,CD2,CE1,CE2,CG,CZ,N,O	77360
C,CA,CB,CD2,CE1,CG,N,ND1,NE2,O	61992
C,CA,CB,CE,CG,N,O,SD	39887
C,CA,CB,CD1,CD2,CE2,CE3,CG,CH2,CZ2,CZ3,N,NE1,O	32596
C,CA,CB,N,O,SG	19945
C,CA,CB,CG,N,O	182
CA,O	57
CA	57
C,CA,CB,CD,CG,CL,CZ,N,NE,NH1,NH2,O	18
C,CA,N,ND2,O,OD1	17
C,CA,CB,CD1,CD2,CG,CL,N,O	15
C,CA,CB,CG2,CL,N,O,OG1	12
C,CA,CB,CD2,CE1,CG,CL,N,ND1,NE2,O	11
C,CA,CB,CD1,CG1,CG2,CL,N,O	11
C,CA,CB,CG1,CG2,CL,N,O	11
C,CA,CB,CD1,CD2,CE1,CE2,CG,CL,CZ,N,O,OH	10
C,CA,CL,N,O	9
C,CA,CB,CD,CG,CL,N,O,OE1,OE2	9
C,CA,CB,CG,CL,N,O,OD1,OD2	9
C,CA,CB,CL,N,O	8
C,CA,CB,CD1,CD2,CE1,CE2,CG,CL,CZ,N,O	8
C,CA,CB,CD,CG,CL,N,O	8
C,CA,CB,CL,N,O,OG	6
C,CA,CB,CG,CL,N,ND2,O,OD1	6
C,CA,N,NE2,O,OE1	6
C,CA,CB,CD,CG,CL,N,NE2,O,OE1	6
C,CA,CB,CE,CG,CL,N,O,SD	4
C,CA,CB,CD,CE,CG,CL,N,NZ,O	4
C,CA,CB,CD1,CD2,CE2,CE3,CG,CH2,CL,CZ2,CZ3,N,NE1,O	3
C,CA,CU,N,O	2
C,CA,CB,CD,CG,CU,N,O,OE1,OE2	2
C,CA,CB,CD1,CD2,CE1,CE2,CG,CU,CZ,N,O,OH	2
C,CA,CB,CG,CU,N,O,OD1,OD2	2
C,CA,CB,CG2,CU,N,O,OG1	1
C,CA,CB,CL,N,O,SG	1
C,CA,CB,CU,N,O,OG	1
C,CA,CB,CD,CG,CZ,N,NE,NH1,NH2,O,OG	1
C,CA,CB,CG1,CG2,CU,N,O	1
C,CA,CB,CD,CE,CG,CU,N,NZ,O	1
C,CA,CD2,CE1,N,ND1,NE2,O	1
C,CA,CB,CE,CG,CU,N,O,SD	1
C,CA,CB,CD2,CE1,CG,CU,N,ND1,NE2,O	1
C,CA,CB,CD1,CD2,CG,N,ND2,O,OD1	1
C,CA,CB,CG,CU,N,ND2,O,OD1	1
